Unicode Point  |  Glyph   |   Name
\u00122             Ģ          uni0122
\u00123             ģ          uni0123
\u00124             Ĥ          Hcircumflex
\u00125             ĥ          hcircumflex
\u00126             Ħ          Hbar
\u00127             ħ          hbar
\u00128             Ĩ          Itilde
\u00129             ĩ          itilde
\u0012a             Ī          Imacron
\u0012b             ī          imacron
\u0012c             Ĭ          Ibreve
\u0012d             ĭ          ibreve
\u0012e             Į          Iogonek
\u0012f             į          iogonek
\u00130             İ          Idotaccent
\u00131             ı          dotlessi
\u00132             Ĳ          IJ
\u00133             ĳ          ij
\u00134             Ĵ          Jcircumflex
\u00135             ĵ          jcircumflex
\u00136             Ķ          uni0136
\u00137             ķ          uni0137
\u00138             ĸ          kgreenlandic
\u00139             Ĺ          Lacute
\u0013a             ĺ          lacute
\u0013b             Ļ          uni013B
\u0013c             ļ          uni013C
\u0013d             Ľ          Lcaron
\u0013e             ľ          lcaron
\u0013f             Ŀ          Ldot
\u00140             ŀ          ldot
\u00141             Ł          Lslash
\u00142             ł          lslash
\u00143             Ń          Nacute
\u00144             ń          nacute
\u00145             Ņ          uni0145
\u00146             ņ          uni0146
\u00147             Ň          Ncaron
\u00148             ň          ncaron
\u00149             ŉ          napostrophe
\u0014a             Ŋ          Eng
\u0014b             ŋ          eng
\u0014c             Ō          Omacron
\u0014d             ō          omacron
\u0014e             Ŏ          Obreve
\u0014f             ŏ          obreve
\u00150             Ő          Ohungarumlaut
\u00151             ő          ohungarumlaut
\u00152             Œ          OE
\u00153             œ          oe
\u00154             Ŕ          Racute
\u00155             ŕ          racute
\u00156             Ŗ          uni0156
\u00157             ŗ          uni0157
\u00158             Ř          Rcaron
\u00159             ř          rcaron
\u0015a             Ś          Sacute
\u0015b             ś          sacute
\u0015c             Ŝ          Scircumflex
\u0015d             ŝ          scircumflex
\u0015e             Ş          Scedilla
\u0015f             ş          scedilla
\u00160             Š          Scaron
\u00161             š          scaron
\u00162             Ţ          uni0162
\u00163             ţ          uni0163
\u00164             Ť          Tcaron
\u00165             ť          tcaron
\u00166             Ŧ          Tbar
\u00167             ŧ          tbar
\u00168             Ũ          Utilde
\u00169             ũ          utilde
\u0016a             Ū          Umacron
\u0016b             ū          umacron
\u0016c             Ŭ          Ubreve
\u0016d             ŭ          ubreve
\u0016e             Ů          Uring
\u0016f             ů          uring
\u00170             Ű          Uhungarumlaut
\u00171             ű          uhungarumlaut
\u00172             Ų          Uogonek
\u00173             ų          uogonek
\u00174             Ŵ          Wcircumflex
\u00175             ŵ          wcircumflex
\u00176             Ŷ          Ycircumflex
\u00177             ŷ          ycircumflex
\u00178             Ÿ          Ydieresis
\u00179             Ź          Zacute
\u0017a             ź          zacute
