Unicode Point  |  Glyph   |   Name
\u001f41             ὁ          uni1F41
\u001f42             ὂ          uni1F42
\u001f43             ὃ          uni1F43
\u001f44             ὄ          uni1F44
\u001f45             ὅ          uni1F45
\u001f46             ὆          uni1F46
\u001f47             ὇          uni1F47
\u001f48             Ὀ          uni1F48
\u001f49             Ὁ          uni1F49
\u001f4a             Ὂ          uni1F4A
\u001f4b             Ὃ          uni1F4B
\u001f4c             Ὄ          uni1F4C
\u001f4d             Ὅ          uni1F4D
\u001f4e             ὎          uni1F4E
\u001f4f             ὏          uni1F4F
\u001f50             ὐ          uni1F50
\u001f51             ὑ          uni1F51
\u001f52             ὒ          uni1F52
\u001f53             ὓ          uni1F53
\u001f54             ὔ          uni1F54
\u001f55             ὕ          uni1F55
\u001f56             ὖ          uni1F56
\u001f57             ὗ          uni1F57
\u001f58             ὘          uni1F58
\u001f59             Ὑ          uni1F59
\u001f5a             ὚          uni1F5A
\u001f5b             Ὓ          uni1F5B
\u001f5c             ὜          uni1F5C
\u001f5d             Ὕ          uni1F5D
\u001f5e             ὞          uni1F5E
\u001f5f             Ὗ          uni1F5F
\u001f60             ὠ          uni1F60
\u001f61             ὡ          uni1F61
\u001f62             ὢ          uni1F62
\u001f63             ὣ          uni1F63
\u001f64             ὤ          uni1F64
\u001f65             ὥ          uni1F65
\u001f66             ὦ          uni1F66
\u001f67             ὧ          uni1F67
\u001f68             Ὠ          uni1F68
\u001f69             Ὡ          uni1F69
\u001f6a             Ὢ          uni1F6A
\u001f6b             Ὣ          uni1F6B
\u001f6c             Ὤ          uni1F6C
\u001f6d             Ὥ          uni1F6D
\u001f6e             Ὦ          uni1F6E
\u001f6f             Ὧ          uni1F6F
\u001f70             ὰ          uni1F70
\u001f71             ά          uni1F71
\u001f72             ὲ          uni1F72
\u001f73             έ          uni1F73
\u001f74             ὴ          uni1F74
\u001f75             ή          uni1F75
\u001f76             ὶ          uni1F76
\u001f77             ί          uni1F77
\u001f78             ὸ          uni1F78
\u001f79             ό          uni1F79
\u001f7a             ὺ          uni1F7A
\u001f7b             ύ          uni1F7B
\u001f7c             ὼ          uni1F7C
\u001f7d             ώ          uni1F7D
\u001f80             ᾀ          uni1F80
\u001f81             ᾁ          uni1F81
\u001f82             ᾂ          uni1F82
\u001f83             ᾃ          uni1F83
\u001f84             ᾄ          uni1F84
\u001f85             ᾅ          uni1F85
\u001f86             ᾆ          uni1F86
\u001f87             ᾇ          uni1F87
\u001f88             ᾈ          uni1F88
\u001f89             ᾉ          uni1F89
\u001f8a             ᾊ          uni1F8A
\u001f8b             ᾋ          uni1F8B
\u001f8c             ᾌ          uni1F8C
\u001f8d             ᾍ          uni1F8D
\u001f8e             ᾎ          uni1F8E
\u001f8f             ᾏ          uni1F8F
\u001f90             ᾐ          uni1F90
\u001f91             ᾑ          uni1F91
\u001f92             ᾒ          uni1F92
\u001f93             ᾓ          uni1F93
\u001f94             ᾔ          uni1F94
\u001f95             ᾕ          uni1F95
\u001f96             ᾖ          uni1F96
\u001f97             ᾗ          uni1F97
\u001f98             ᾘ          uni1F98
\u001f99             ᾙ          uni1F99
\u001f9a             ᾚ          uni1F9A
\u001f9b             ᾛ          uni1F9B
\u001f9c             ᾜ          uni1F9C
\u001f9d             ᾝ          uni1F9D
\u001f9e             ᾞ          uni1F9E
\u001f9f             ᾟ          uni1F9F
\u001fa0             ᾠ          uni1FA0
\u001fa1             ᾡ          uni1FA1
\u001fa2             ᾢ          uni1FA2
\u001fa3             ᾣ          uni1FA3
\u001fa4             ᾤ          uni1FA4
\u001fa5             ᾥ          uni1FA5
\u001fa6             ᾦ          uni1FA6
\u001fa7             ᾧ          uni1FA7
\u001fa8             ᾨ          uni1FA8
\u001fa9             ᾩ          uni1FA9
\u001faa             ᾪ          uni1FAA
\u001fab             ᾫ          uni1FAB
\u001fac             ᾬ          uni1FAC
\u001fad             ᾭ          uni1FAD
\u001fae             ᾮ          uni1FAE
\u001faf             ᾯ          uni1FAF
\u001fb0             ᾰ          uni1FB0
\u001fb1             ᾱ          uni1FB1
\u001fb2             ᾲ          uni1FB2
\u001fb3             ᾳ          uni1FB3
\u001fb4             ᾴ          uni1FB4
\u001fb6             ᾶ          uni1FB6
\u001fb7             ᾷ          uni1FB7
\u001fb8             Ᾰ          uni1FB8
\u001fb9             Ᾱ          uni1FB9
\u001fba             Ὰ          uni1FBA
\u001fbb             Ά          uni1FBB
\u001fbc             ᾼ          uni1FBC
\u001fc2             ῂ          uni1FC2
\u001fc3             ῃ          uni1FC3
\u001fc4             ῄ          uni1FC4
\u001fc6             ῆ          uni1FC6
\u001fc7             ῇ          uni1FC7
\u001fca             Ὴ          uni1FCA
\u001fcb             Ή          uni1FCB
\u001fcc             ῌ          uni1FCC
\u001fd0             ῐ          uni1FD0
\u001fd1             ῑ          uni1FD1
\u001fd2             ῒ          uni1FD2
\u001fd3             ΐ          uni1FD3
\u001fd4             ῔          uni1FD4
\u001fd6             ῖ          uni1FD6
\u001fd7             ῗ          uni1FD7
\u001fd8             Ῐ          uni1FD8
\u001fd9             Ῑ          uni1FD9
\u001fda             Ὶ          uni1FDA
\u001fdb             Ί          uni1FDB
\u001fdc             ῜          uni1FDC
\u001fe0             ῠ          uni1FE0
\u001fe1             ῡ          uni1FE1
\u001fe2             ῢ          uni1FE2
\u001fe3             ΰ          uni1FE3
\u001fe6             ῦ          uni1FE6
\u001fe7             ῧ          uni1FE7
\u001fe8             Ῠ          uni1FE8
\u001fe9             Ῡ          uni1FE9
\u001fea             Ὺ          uni1FEA
\u001feb             Ύ          uni1FEB
\u001ff2             ῲ          uni1FF2
\u001ff3             ῳ          uni1FF3
\u001ff4             ῴ          uni1FF4
\u001ff6             ῶ          uni1FF6
\u001ff7             ῷ          uni1FF7
\u001ffa             Ὼ          uni1FFA
\u001ffb             Ώ          uni1FFB
\u001ffc             ῼ          uni1FFC
\u002010             ‐          uni2010
\u002011             ‑          uni2011
\u002012             ‒          figuredash
\u002013             –          endash
\u002014             —          emdash
\u002015             ―          uni2015
\u002016             ‖          uni2016
\u002017             ‗          underscoredbl
\u002018             ‘          quoteleft
\u002019             ’          quoteright
\u00201c             “          quotedblleft
\u00201d             ”          quotedblright
\u002020             †          dagger
\u002021             ‡          daggerdbl
\u002022             •          bullet
\u002024             ․          onedotenleader
\u002025             ‥          twodotenleader
\u002026             …          ellipsis
\u002030             ‰          perthousand
\u002031             ‱          uni2031
\u002032             ′          minute
\u002033             ″          second
\u002034             ‴          uni2034
\u002035             ‵          uni2035
\u002036             ‶          uni2036
\u002037             ‷          uni2037
\u00203c             ‼          exclamdbl
\u00203d             ‽          uni203D
\u002044             ⁄          fraction
\u002047             ⁇          uni2047
\u002048             ⁈          uni2048
\u002049             ⁉          uni2049
\u002070             ⁰          uni2070
\u002071             ⁱ          uni2071
\u002074             ⁴          uni2074
\u002075             ⁵          uni2075
\u002076             ⁶          uni2076
\u002077             ⁷          uni2077
\u002078             ⁸          uni2078
\u002079             ⁹          uni2079
\u00207a             ⁺          uni207A
\u00207b             ⁻          uni207B
\u00207c             ⁼          uni207C
\u00207f             ⁿ          uni207F
\u0020a7             ₧          peseta
\u0020ac             €          Euro
\u002117             ℗          uni2117
\u002120             ℠          uni2120
\u002122             ™          trademark
\u002150             ⅐          uni2150
\u002151             ⅑          uni2151
\u002152             ⅒          uni2152
\u002153             ⅓          onethird
\u002154             ⅔          twothirds
\u002155             ⅕          uni2155
\u002156             ⅖          uni2156
\u002157             ⅗          uni2157
\u002158             ⅘          uni2158
\u002159             ⅙          uni2159
\u00215a             ⅚          uni215A
\u00215b             ⅛          oneeighth
\u00215c             ⅜          threeeighths
\u00215d             ⅝          fiveeighths
\u00215e             ⅞          seveneighths
\u00215f             ⅟          uni215F
\u002189             ↉          uni2189
\u002190             ←          arrowleft
\u002191             ↑          arrowup
\u002192             →          arrowright
\u002193             ↓          arrowdown
\u002194             ↔          arrowboth
\u002195             ↕          arrowupdn
\u002196             ↖          uni2196
\u002197             ↗          uni2197
\u002198             ↘          uni2198
\u002199             ↙          uni2199
\u0021a5             ↥          uni21A5
\u0021a8             ↨          arrowupdnbse
\u0021b2             ↲          uni21B2
\u0021bc             ↼          uni21BC
\u0021bd             ↽          uni21BD
\u0021be             ↾          uni21BE
\u0021bf             ↿          uni21BF
\u0021c0             ⇀          uni21C0
\u0021c1             ⇁          uni21C1
\u0021c2             ⇂          uni21C2
\u0021c3             ⇃          uni21C3
\u0021e6             ⇦          uni21E6
\u0021e7             ⇧          uni21E7
\u0021e8             ⇨          uni21E8
\u0021e9             ⇩          uni21E9
\u002205             ∅          emptyset
\u002212             −          minus
\u002213             ∓          uni2213
\u002214             ∔          uni2214
\u002215             ∕          uni2215
\u002218             ∘          uni2218
\u00221a             √          radical
\u00221b             ∛          uni221B
\u00221c             ∜          uni221C
\u00221e             ∞          infinity
\u00221f             ∟          orthogonal
\u002229             ∩          intersection
\u002248             ≈          approxequal
\u002261             ≡          equivalence
\u002264             ≤          lessequal
\u002265             ≥          greaterequal
\u0022c5             ⋅          dotmath
\u002301             ⌁          uni2301
\u002318             ⌘          uni2318
\u00231a             ⌚          uni231A
\u00231b             ⌛          uni231B
\u002320             ⌠          integraltp
\u002321             ⌡          integralbt
\u00239b             ⎛          uni239B
\u00239c             ⎜          uni239C
\u00239d             ⎝          uni239D
\u00239e             ⎞          uni239E
\u00239f             ⎟          uni239F
\u0023a0             ⎠          uni23A0
\u0023a1             ⎡          uni23A1
\u0023a2             ⎢          uni23A2
\u0023a3             ⎣          uni23A3
\u0023a4             ⎤          uni23A4
\u0023a5             ⎥          uni23A5
\u0023a6             ⎦          uni23A6
\u0023a7             ⎧          uni23A7
\u0023a8             ⎨          uni23A8
\u0023a9             ⎩          uni23A9
\u0023aa             ⎪          uni23AA
\u0023ab             ⎫          uni23AB
\u0023ac             ⎬          uni23AC
\u0023ad             ⎭          uni23AD
\u0023ae             ⎮          uni23AE
\u0023af             ⎯          uni23AF
\u0023b2             ⎲          uni23B2
\u0023b3             ⎳          uni23B3
\u0023b7             ⎷          uni23B7
\u0023b8             ⎸          uni23B8
\u0023b9             ⎹          uni23B9
\u0023ba             ⎺          uni23BA
\u0023bb             ⎻          uni23BB
\u0023bc             ⎼          uni23BC
\u0023bd             ⎽          uni23BD
\u0023d0             ⏐          uni23D0
\u0023da             ⏚          uni23DA
\u0023e9             ⏩          uni23E9
\u0023ea             ⏪          uni23EA
\u0023eb             ⏫          uni23EB
\u0023ec             ⏬          uni23EC
\u002500             ─          SF100000
\u002501             ━          uni2501
\u002502             │          SF110000
\u002503             ┃          uni2503
\u002504             ┄          uni2504
\u002505             ┅          uni2505
\u002506             ┆          uni2506
\u002507             ┇          uni2507
\u002508             ┈          uni2508
\u002509             ┉          uni2509
\u00250a             ┊          uni250A
\u00250b             ┋          uni250B
\u00250c             ┌          SF010000
\u00250d             ┍          uni250D
\u00250e             ┎          uni250E
\u00250f             ┏          uni250F
\u002510             ┐          SF030000
\u002511             ┑          uni2511
\u002512             ┒          uni2512
\u002513             ┓          uni2513
\u002514             └          SF020000
\u002515             ┕          uni2515
\u002516             ┖          uni2516
\u002517             ┗          uni2517
\u002518             ┘          SF040000
\u002519             ┙          uni2519
\u00251a             ┚          uni251A
\u00251b             ┛          uni251B
\u00251c             ├          SF080000
\u00251d             ┝          uni251D
\u00251e             ┞          uni251E
\u00251f             ┟          uni251F
\u002520             ┠          uni2520
\u002521             ┡          uni2521
\u002522             ┢          uni2522
\u002523             ┣          uni2523
\u002524             ┤          SF090000
\u002525             ┥          uni2525
\u002526             ┦          uni2526
\u002527             ┧          uni2527
\u002528             ┨          uni2528
\u002529             ┩          uni2529
\u00252a             ┪          uni252A
\u00252b             ┫          uni252B
\u00252c             ┬          SF060000
\u00252d             ┭          uni252D
\u00252e             ┮          uni252E
\u00252f             ┯          uni252F
\u002530             ┰          uni2530
\u002531             ┱          uni2531
\u002532             ┲          uni2532
\u002533             ┳          uni2533
\u002534             ┴          SF070000
\u002535             ┵          uni2535
\u002536             ┶          uni2536
\u002537             ┷          uni2537
\u002538             ┸          uni2538
\u002539             ┹          uni2539
\u00253a             ┺          uni253A
\u00253b             ┻          uni253B
\u00253c             ┼          SF050000
\u00253d             ┽          uni253D
\u00253e             ┾          uni253E
\u00253f             ┿          uni253F
\u002540             ╀          uni2540
\u002541             ╁          uni2541
\u002542             ╂          uni2542
\u002543             ╃          uni2543
\u002544             ╄          uni2544
\u002545             ╅          uni2545
\u002546             ╆          uni2546
\u002547             ╇          uni2547
\u002548             ╈          uni2548
\u002549             ╉          uni2549
\u00254a             ╊          uni254A
\u00254b             ╋          uni254B
\u00254c             ╌          uni254C
\u00254d             ╍          uni254D
\u00254e             ╎          uni254E
\u00254f             ╏          uni254F
\u002550             ═          SF430000
\u002551             ║          SF240000
\u002552             ╒          SF510000
\u002553             ╓          SF520000
\u002554             ╔          SF390000
\u002555             ╕          SF220000
\u002556             ╖          SF210000
\u002557             ╗          SF250000
\u002558             ╘          SF500000
\u002559             ╙          SF490000
\u00255a             ╚          SF380000
\u00255b             ╛          SF280000
\u00255c             ╜          SF270000
\u00255d             ╝          SF260000
\u00255e             ╞          SF360000
\u00255f             ╟          SF370000
\u002560             ╠          SF420000
\u002561             ╡          SF190000
\u002562             ╢          SF200000
\u002563             ╣          SF230000
\u002564             ╤          SF470000
\u002565             ╥          SF480000
\u002566             ╦          SF410000
\u002567             ╧          SF450000
\u002568             ╨          SF460000
\u002569             ╩          SF400000
\u00256a             ╪          SF540000
\u00256b             ╫          SF530000
\u00256c             ╬          SF440000
\u00256d             ╭          uni256D
\u00256e             ╮          uni256E
\u00256f             ╯          uni256F
\u002570             ╰          uni2570
\u002571             ╱          uni2571
\u002572             ╲          uni2572
\u002573             ╳          uni2573
\u002574             ╴          uni2574
\u002575             ╵          uni2575
\u002576             ╶          uni2576
\u002577             ╷          uni2577
\u002578             ╸          uni2578
\u002579             ╹          uni2579
\u00257a             ╺          uni257A
\u00257b             ╻          uni257B
\u00257c             ╼          uni257C
\u00257d             ╽          uni257D
\u00257e             ╾          uni257E
\u00257f             ╿          uni257F
\u002580             ▀          upblock
\u002581             ▁          uni2581
\u002582             ▂          uni2582
\u002583             ▃          uni2583
\u002584             ▄          dnblock
\u002585             ▅          uni2585
\u002586             ▆          uni2586
\u002587             ▇          uni2587
\u002588             █          block
\u002589             ▉          uni2589
\u00258a             ▊          uni258A
\u00258b             ▋          uni258B
\u00258c             ▌          lfblock
\u00258d             ▍          uni258D
\u00258e             ▎          uni258E
\u00258f             ▏          uni258F
\u002590             ▐          rtblock
\u002591             ░          ltshade
\u002592             ▒          shade
\u002593             ▓          dkshade
\u002594             ▔          uni2594
\u002595             ▕          uni2595
\u002596             ▖          uni2596
\u002597             ▗          uni2597
\u002598             ▘          uni2598
\u002599             ▙          uni2599
\u00259a             ▚          uni259A
\u00259b             ▛          uni259B
\u00259c             ▜          uni259C
\u00259d             ▝          uni259D
\u00259e             ▞          uni259E
\u00259f             ▟          uni259F
\u0025a0             ■          filledbox
\u0025a1             □          H22073
\u0025a2             ▢          uni25A2
\u0025a3             ▣          uni25A3
\u0025a4             ▤          uni25A4
\u0025a5             ▥          uni25A5
\u0025a6             ▦          uni25A6
\u0025a7             ▧          uni25A7
\u0025a8             ▨          uni25A8
\u0025a9             ▩          uni25A9
\u0025aa             ▪          H18543
\u0025ab             ▫          H18551
\u0025ac             ▬          filledrect
\u0025ad             ▭          uni25AD
\u0025ae             ▮          uni25AE
\u0025af             ▯          uni25AF
\u0025b0             ▰          uni25B0
\u0025b1             ▱          uni25B1
\u0025b2             ▲          triagup
\u0025b3             △          uni25B3
\u0025b4             ▴          uni25B4
\u0025b5             ▵          uni25B5
\u0025b6             ▶          uni25B6
\u0025b7             ▷          uni25B7
\u0025b8             ▸          uni25B8
\u0025b9             ▹          uni25B9
\u0025ba             ►          triagrt
\u0025bb             ▻          uni25BB
\u0025bc             ▼          triagdn
\u0025bd             ▽          uni25BD
\u0025be             ▾          uni25BE
\u0025bf             ▿          uni25BF
\u0025c0             ◀          uni25C0
\u0025c1             ◁          uni25C1
\u0025c2             ◂          uni25C2
\u0025c3             ◃          uni25C3
\u0025c4             ◄          triaglf
\u0025c5             ◅          uni25C5
\u0025c6             ◆          uni25C6
\u0025c7             ◇          uni25C7
\u0025c8             ◈          uni25C8
\u0025c9             ◉          uni25C9
\u0025ca             ◊          lozenge
\u0025cb             ○          circle
\u0025cc             ◌          uni25CC
\u0025cd             ◍          uni25CD
\u0025ce             ◎          uni25CE
\u0025cf             ●          H18533
\u0025d0             ◐          uni25D0
\u0025d1             ◑          uni25D1
\u0025d2             ◒          uni25D2
\u0025d3             ◓          uni25D3
\u0025d4             ◔          uni25D4
\u0025d5             ◕          uni25D5
\u0025d6             ◖          uni25D6
\u0025d7             ◗          uni25D7
\u0025d8             ◘          invbullet
\u0025d9             ◙          invcircle
\u0025da             ◚          uni25DA
\u0025db             ◛          uni25DB
\u0025dc             ◜          uni25DC
\u0025dd             ◝          uni25DD
\u0025de             ◞          uni25DE
\u0025df             ◟          uni25DF
\u0025e0             ◠          uni25E0
\u0025e1             ◡          uni25E1
\u0025e2             ◢          uni25E2
\u0025e3             ◣          uni25E3
\u0025e4             ◤          uni25E4
\u0025e5             ◥          uni25E5
\u0025e6             ◦          openbullet
\u0025e7             ◧          uni25E7
\u0025e8             ◨          uni25E8
\u0025e9             ◩          uni25E9
\u0025ea             ◪          uni25EA
\u0025eb             ◫          uni25EB
\u0025ec             ◬          uni25EC
\u0025ed             ◭          uni25ED
\u0025ee             ◮          uni25EE
\u0025ef             ◯          uni25EF
\u0025f0             ◰          uni25F0
\u0025f1             ◱          uni25F1
\u0025f2             ◲          uni25F2
\u0025f3             ◳          uni25F3
\u0025f4             ◴          uni25F4
\u0025f5             ◵          uni25F5
\u0025f6             ◶          uni25F6
\u0025f7             ◷          uni25F7
\u0025f8             ◸          uni25F8
\u0025f9             ◹          uni25F9
\u0025fa             ◺          uni25FA
\u0025fb             ◻          uni25FB
\u0025fc             ◼          uni25FC
\u0025fd             ◽          uni25FD
\u0025fe             ◾          uni25FE
\u0025ff             ◿          uni25FF
\u002602             ☂          uni2602
\u002605             ★          uni2605
\u002606             ☆          uni2606
\u002609             ☉          uni2609
\u00260e             ☎          uni260E
\u002610             ☐          uni2610
\u002611             ☑          uni2611
\u002612             ☒          uni2612
\u002615             ☕          uni2615
\u002625             ☥          uni2625
\u002628             ☨          uni2628
\u00262f             ☯          uni262F
\u002630             ☰          uni2630
\u002631             ☱          uni2631
\u002632             ☲          uni2632
\u002633             ☳          uni2633
\u002634             ☴          uni2634
\u002635             ☵          uni2635
\u002636             ☶          uni2636
\u002637             ☷          uni2637
\u002639             ☹          uni2639
\u00263a             ☺          smileface
\u00263b             ☻          invsmileface
\u002640             ♀          female
\u002642             ♂          male
\u002660             ♠          spade
\u002661             ♡          uni2661
\u002662             ♢          uni2662
\u002663             ♣          club
\u002664             ♤          uni2664
\u002665             ♥          heart
\u002666             ♦          diamond
\u002667             ♧          uni2667
\u002669             ♩          uni2669
\u00266a             ♪          musicalnote
\u00266b             ♫          musicalnotedbl
\u00266c             ♬          uni266C
\u002683             ⚃          uni2683
\u00268a             ⚊          uni268A
\u00268b             ⚋          uni268B
\u00268c             ⚌          uni268C
\u00268d             ⚍          uni268D
\u00268e             ⚎          uni268E
\u00268f             ⚏          uni268F
\u00269e             ⚞          uni269E
\u00269f             ⚟          uni269F
\u0026aa             ⚪          uni26AA
\u0026ab             ⚫          uni26AB
\u0026ac             ⚬          uni26AC
\u0026c8             ⛈          uni26C8
\u0026f5             ⛵          uni26F5
\u002708             ✈          uni2708
\u002713             ✓          uni2713
\u002734             ✴          uni2734
\u002735             ✵          uni2735
\u002764             ❤          uni2764
\u002800             ⠀          uni2800
\u002801             ⠁          uni2801
\u002802             ⠂          uni2802
\u002803             ⠃          uni2803
\u002804             ⠄          uni2804
\u002805             ⠅          uni2805
\u002806             ⠆          uni2806
\u002807             ⠇          uni2807
\u002808             ⠈          uni2808
\u002809             ⠉          uni2809
\u00280a             ⠊          uni280A
\u00280b             ⠋          uni280B
\u00280c             ⠌          uni280C
\u00280d             ⠍          uni280D
\u00280e             ⠎          uni280E
\u00280f             ⠏          uni280F
\u002810             ⠐          uni2810
\u002811             ⠑          uni2811
\u002812             ⠒          uni2812
\u002813             ⠓          uni2813
\u002814             ⠔          uni2814
\u002815             ⠕          uni2815
\u002816             ⠖          uni2816
\u002817             ⠗          uni2817
\u002818             ⠘          uni2818
\u002819             ⠙          uni2819
\u00281a             ⠚          uni281A
\u00281b             ⠛          uni281B
\u00281c             ⠜          uni281C
\u00281d             ⠝          uni281D
\u00281e             ⠞          uni281E
\u00281f             ⠟          uni281F
\u002820             ⠠          uni2820
\u002821             ⠡          uni2821
\u002822             ⠢          uni2822
\u002823             ⠣          uni2823
\u002824             ⠤          uni2824
\u002825             ⠥          uni2825
\u002826             ⠦          uni2826
\u002827             ⠧          uni2827
\u002828             ⠨          uni2828
\u002829             ⠩          uni2829
\u00282a             ⠪          uni282A
\u00282b             ⠫          uni282B
\u00282c             ⠬          uni282C
\u00282d             ⠭          uni282D
\u00282e             ⠮          uni282E
\u00282f             ⠯          uni282F
\u002830             ⠰          uni2830
\u002831             ⠱          uni2831
\u002832             ⠲          uni2832
\u002833             ⠳          uni2833
\u002834             ⠴          uni2834
\u002835             ⠵          uni2835
\u002836             ⠶          uni2836
\u002837             ⠷          uni2837
\u002838             ⠸          uni2838
\u002839             ⠹          uni2839
\u00283a             ⠺          uni283A
\u00283b             ⠻          uni283B
\u00283c             ⠼          uni283C
\u00283d             ⠽          uni283D
\u00283e             ⠾          uni283E
\u00283f             ⠿          uni283F
\u002840             ⡀          uni2840
\u002841             ⡁          uni2841
\u002842             ⡂          uni2842
\u002843             ⡃          uni2843
\u002844             ⡄          uni2844
\u002845             ⡅          uni2845
\u002846             ⡆          uni2846
\u002847             ⡇          uni2847
\u002848             ⡈          uni2848
\u002849             ⡉          uni2849
\u00284a             ⡊          uni284A
\u00284b             ⡋          uni284B
\u00284c             ⡌          uni284C
\u00284d             ⡍          uni284D
\u00284e             ⡎          uni284E
\u00284f             ⡏          uni284F
\u002850             ⡐          uni2850
\u002851             ⡑          uni2851
\u002852             ⡒          uni2852
\u002853             ⡓          uni2853
\u002854             ⡔          uni2854
\u002855             ⡕          uni2855
\u002856             ⡖          uni2856
\u002857             ⡗          uni2857
\u002858             ⡘          uni2858
\u002859             ⡙          uni2859
\u00285a             ⡚          uni285A
\u00285b             ⡛          uni285B
\u00285c             ⡜          uni285C
\u00285d             ⡝          uni285D
\u00285e             ⡞          uni285E
\u00285f             ⡟          uni285F
\u002860             ⡠          uni2860
\u002861             ⡡          uni2861
\u002862             ⡢          uni2862
\u002863             ⡣          uni2863
\u002864             ⡤          uni2864
\u002865             ⡥          uni2865
\u002866             ⡦          uni2866
\u002867             ⡧          uni2867
\u002868             ⡨          uni2868
\u002869             ⡩          uni2869
\u00286a             ⡪          uni286A
\u00286b             ⡫          uni286B
\u00286c             ⡬          uni286C
\u00286d             ⡭          uni286D
\u00286e             ⡮          uni286E
\u00286f             ⡯          uni286F
\u002870             ⡰          uni2870
\u002871             ⡱          uni2871
\u002872             ⡲          uni2872
\u002873             ⡳          uni2873
\u002874             ⡴          uni2874
\u002875             ⡵          uni2875
\u002876             ⡶          uni2876
\u002877             ⡷          uni2877
\u002878             ⡸          uni2878
\u002879             ⡹          uni2879
\u00287a             ⡺          uni287A
\u00287b             ⡻          uni287B
\u00287c             ⡼          uni287C
\u00287d             ⡽          uni287D
\u00287e             ⡾          uni287E
\u00287f             ⡿          uni287F
\u002880             ⢀          uni2880
\u002881             ⢁          uni2881
\u002882             ⢂          uni2882
\u002883             ⢃          uni2883
\u002884             ⢄          uni2884
\u002885             ⢅          uni2885
\u002886             ⢆          uni2886
\u002887             ⢇          uni2887
\u002888             ⢈          uni2888
\u002889             ⢉          uni2889
\u00288a             ⢊          uni288A
\u00288b             ⢋          uni288B
\u00288c             ⢌          uni288C
\u00288d             ⢍          uni288D
\u00288e             ⢎          uni288E
\u00288f             ⢏          uni288F
\u002890             ⢐          uni2890
\u002891             ⢑          uni2891
\u002892             ⢒          uni2892
\u002893             ⢓          uni2893
\u002894             ⢔          uni2894
\u002895             ⢕          uni2895
\u002896             ⢖          uni2896
\u002897             ⢗          uni2897
\u002898             ⢘          uni2898
\u002899             ⢙          uni2899
\u00289a             ⢚          uni289A
\u00289b             ⢛          uni289B
\u00289c             ⢜          uni289C
\u00289d             ⢝          uni289D
\u00289e             ⢞          uni289E
\u00289f             ⢟          uni289F
\u0028a0             ⢠          uni28A0
\u0028a1             ⢡          uni28A1
\u0028a2             ⢢          uni28A2
\u0028a3             ⢣          uni28A3
\u0028a4             ⢤          uni28A4
\u0028a5             ⢥          uni28A5
\u0028a6             ⢦          uni28A6
\u0028a7             ⢧          uni28A7
\u0028a8             ⢨          uni28A8
\u0028a9             ⢩          uni28A9
\u0028aa             ⢪          uni28AA
\u0028ab             ⢫          uni28AB
\u0028ac             ⢬          uni28AC
\u0028ad             ⢭          uni28AD
\u0028ae             ⢮          uni28AE
\u0028af             ⢯          uni28AF
\u0028b0             ⢰          uni28B0
\u0028b1             ⢱          uni28B1
\u0028b2             ⢲          uni28B2
\u0028b3             ⢳          uni28B3
\u0028b4             ⢴          uni28B4
\u0028b5             ⢵          uni28B5
\u0028b6             ⢶          uni28B6
\u0028b7             ⢷          uni28B7
\u0028b8             ⢸          uni28B8
\u0028b9             ⢹          uni28B9
\u0028ba             ⢺          uni28BA
\u0028bb             ⢻          uni28BB
\u0028bc             ⢼          uni28BC
\u0028bd             ⢽          uni28BD
\u0028be             ⢾          uni28BE
\u0028bf             ⢿          uni28BF
\u0028c0             ⣀          uni28C0
\u0028c1             ⣁          uni28C1
\u0028c2             ⣂          uni28C2
\u0028c3             ⣃          uni28C3
\u0028c4             ⣄          uni28C4
\u0028c5             ⣅          uni28C5
\u0028c6             ⣆          uni28C6
\u0028c7             ⣇          uni28C7
\u0028c8             ⣈          uni28C8
\u0028c9             ⣉          uni28C9
\u0028ca             ⣊          uni28CA
\u0028cb             ⣋          uni28CB
\u0028cc             ⣌          uni28CC
\u0028cd             ⣍          uni28CD
\u0028ce             ⣎          uni28CE
\u0028cf             ⣏          uni28CF
\u0028d0             ⣐          uni28D0
\u0028d1             ⣑          uni28D1
\u0028d2             ⣒          uni28D2
\u0028d3             ⣓          uni28D3
\u0028d4             ⣔          uni28D4
\u0028d5             ⣕          uni28D5
\u0028d6             ⣖          uni28D6
\u0028d7             ⣗          uni28D7
\u0028d8             ⣘          uni28D8
\u0028d9             ⣙          uni28D9
\u0028da             ⣚          uni28DA
\u0028db             ⣛          uni28DB
\u0028dc             ⣜          uni28DC
\u0028dd             ⣝          uni28DD
\u0028de             ⣞          uni28DE
\u0028df             ⣟          uni28DF
\u0028e0             ⣠          uni28E0
\u0028e1             ⣡          uni28E1
\u0028e2             ⣢          uni28E2
\u0028e3             ⣣          uni28E3
\u0028e4             ⣤          uni28E4
\u0028e5             ⣥          uni28E5
\u0028e6             ⣦          uni28E6
\u0028e7             ⣧          uni28E7
\u0028e8             ⣨          uni28E8
\u0028e9             ⣩          uni28E9
\u0028ea             ⣪          uni28EA
\u0028eb             ⣫          uni28EB
\u0028ec             ⣬          uni28EC
\u0028ed             ⣭          uni28ED
\u0028ee             ⣮          uni28EE
\u0028ef             ⣯          uni28EF
\u0028f0             ⣰          uni28F0
\u0028f1             ⣱          uni28F1
\u0028f2             ⣲          uni28F2
\u0028f3             ⣳          uni28F3
\u0028f4             ⣴          uni28F4
